question_key,kind,question_en,question_ar,answer_letter,answer_en,answer_ar,category,points
Q12,single,"Which headline would you be proudest to earn?","",B,"Engineer ships breakthrough feature","",TECH,2
Q12,single,"Which headline would you be proudest to earn?","",C,"Designer reimagines everyday experience","",DESIGN,3
Q12,single,"Which headline would you be proudest to earn?","",D,"Leader transforms struggling team","",LEAD,3
Q13,single,"You're happiest communicating through:","",A,"A persuasive talk or story","",COMM,3
Q13,single,"You're happiest communicating through:","",B,"A clean diagram or dashboard","",ANALYTIC,2
Q13,single,"You're happiest communicating through:","",C,"A polished visual or mockup","",DESIGN,2
Q13,single,"You're happiest communicating through:","",D,"A clear plan others can follow","",LEAD,2
Q14,binary,"Risk or stability — which pulls you more?","",A,"Risk and ownership","",ENTR,3
Q14,binary,"Risk or stability — which pulls you more?","",B,"Stability and craft","",TECH,1
Q15,single,"People most often come to you for:","",A,"A decision or direction","",LEAD,3
Q15,single,"People most often come to you for:","",B,"A technical answer","",TECH,3
Q15,single,"People most often come to you for:","",C,"Feedback on how something looks","",DESIGN,2
Q15,single,"People most often come to you for:","",D,"Help making sense of information","",ANALYTIC,2
Q16,text,"In your own words, what kind of work would make you lose track of time?","بكلماتك الخاصة، ما نوع العمل الذي يجعلك تفقد الإحساس بالوقت؟",,,,,
